draft_file,id,display_name,edition,source_id,faction,faction_keywords,source_file,source_page,model_count,weapon_count,points,movement,toughness,save,wounds,base_mm,coherency_inches,review_bucket,review_flags,decision
draft_140_p37.json,draft_140_p37,护卫侍从 140分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,37,1,0,,12,9,3+,14,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_140_p38.json,draft_140_p38,战刃侍从 140分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,38,1,0,,12,9,3+,14,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_265_3_280_p34.json,draft_265_3_280_p34,战马骑士 265分 3+个 280分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,34,1,0,,12,10,3+,18,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_355_3_370_p28.json,draft_355_3_370_p28,勇武骑士 355分 3+个 370分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,28,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_355_3_375_p27.json,draft_355_3_375_p27,游侠骑士 355分 3+个 375分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,27,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_365_3_380_p31.json,draft_365_3_380_p31,教导骑士 365分 3+个380分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,31,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_375_3_390_p26.json,draft_375_3_390_p26,圣堂骑士 375分 3+个 390分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,26,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_375_3_390_p29.json,draft_375_3_390_p29,守望骑士 375分 3+个390分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,29,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_395_2_415_p30.json,draft_395_2_415_p30,远征骑士 395分 2+个415分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,30,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_3_80_150_p86.json,draft_3_80_150_p86,3+80/150,11,necrons_11_cn,necrons_11_cn,,11版太空死灵规则1.01.pdf,86,1,0,,12,5,4+,2,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_400_2_420_p33.json,draft_400_2_420_p33,护卫骑士 400分 2+个 420分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,33,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_400_2_420_p35.json,draft_400_2_420_p35,堡主骑士 400分 2+个 420分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,35,1,0,,8,12,3+,28,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_400_3_415_p36.json,draft_400_3_415_p36,豪侠骑士 400分 3+个 415分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,36,1,0,,8,12,3+,28,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_415_p24.json,draft_415_p24,狼王号 415分,11,imperial_knights_11_cn,imperial_knights_11_cn,,帝国骑士 护民官版 1.1.pdf,24,1,0,,10,11,3+,26,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_50mm_with_mole_grenade_launcher_p44.json,draft_50mm_with_mole_grenade_launcher_p44,[50mm with mole grenade launcher],11,leagues_votann_11_cn,leagues_votann_11_cn,,11E沃坦index 分数更新6.17.pdf,44,1,0,,6,6,5+,1,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_85_p100.json,draft_85_p100,王朝征服者 85 分,11,necrons_11_cn,necrons_11_cn,,11版太空死灵规则1.01.pdf,100,1,0,,5,5,3+,6,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_adrax_agatone_p62.json,draft_adrax_agatone_p62,Adrax Agatone,11,space_marines_11_cn,space_marines_11_cn,,星际战士11版中文1.03.pdf,62,1,0,,6,4,2+,5,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
draft_anathema_psykana_rhino_p39.json,draft_anathema_psykana_rhino_p39,Anathema Psykana Rhino,10,imperial_agents_10_cn,imperial_agents_10_cn,,10E-帝国特勤2.0YAZE版.pdf,39,1,0,,12,9,3+,10,,2.0,needs_field_review,missing_points|missing_weapons,pending_manual_review
